Title,Removed amounts and measurements
Hummus and Prosciutto Wrap,"['prosciutto','tortilla','hummus','mozzarella','avocado','tomato','lettuce']"
Good Morning Wrap,"['flour','cheese','apple','granola','sugar','banana']"
Crispy Vegetable Turkey Wrap,"['turkey','swiss chard','daikon','pepper','pepper','pepper','bread','ice','soy sauce','honey','pepper']"
BLT Wraps,"['bacon','flour','cheddar','lettuce','tomato']"
Buffalo Chicken and Ranch Wraps,"['bacon','bacon','chicken','buffalo wing sauce','butter','flour','tomato','ranch dressing']"
Make Ahead Lunch Wraps,"['ice','water','beans','beans','corn','tomato','flour','cheese']"
Asian Pork Lettuce Wraps with Coconut-Lime Rice,"['water','tea','ice','pork','oil','onion','pepper','carrot','chestnuts','gin','teriyaki sauce','honey','cilantro','coconut','lime','romaine','lime','cilantro']"
Cherry Chicken Lettuce Wraps,"['oil','chicken','gin','ice','teriyaki sauce','honey','sweet cherries','carrot','onion','almond','lettuce']"
California Club Chicken Wraps,"['mayonnaise','yogurt','adobo sauce','spinach','lettuce','monterey jack','avocado','bacon','onion','tomato','chicken']"
Buffalo Chicken and Ranch Wraps,"['bacon','bacon','chicken','buffalo wing sauce','butter','flour','tomato','ranch dressing']"
Slaw-mmin' Wraps,"['oil','onion','clove','broccoli','cabbage','chicken','salt','beans','mayonnaise','dijon mustard','cumin','clove','onion','tea','salt','flour']"
Spicy Chipotle Turkey Wraps,"['mayonnaise','adobo sauce','adobo sauce','tortilla','turkey','monterey jack','avocado','lettuce']"
Taco Turkey Wraps,"['cream','pico de gallo','taco','flour','cheese','turkey']"
Egg Pesto Breakfast Wrap,"['egg','cream','cheddar','onion','pesto','tomato','bacon','artichoke hearts','flour','salt']"
Turkey and Grape Wraps,"['turkey','grapes','parmesan','mayonnaise','pepper','flour','spinach']"
Spicy Polynesian Wrap,"['chicken','coconut','ice','water','flour','curry powder','garlic','oil','lime','flour','coconut','onion']"
Crunchy Brunch Wrap,"['butter','tortilla','honey','banana']"
Enchiladas,"['beef','onion','garlic','flour','tea','cheese','enchilada sauce']"
Enchiladas Suizas,"['butter','onion','flour','chicken','pepper','garlic','tea','cumin','corn','oil','monterey jack','cheddar','chicken','cream','onion','olives','tomato']"
Angela's Awesome Enchiladas,"['chicken','chicken','cream','chili','butter','onion','chili','taco','onion','water','tea','onion','garlic','flour','cheddar','enchilada sauce','olives']"
Enchiladas Verdes,"['clove','pepper','tomatillos','oil','corn','water','chicken','chicken','lettuce','cilantro',' container mexican crema, crema fresca','cheese']"
Jalapeno Cream Cheese Chicken Enchiladas,"['chicken','cayenne','garlic','pepper','butter','onion','jalapeno','cream','garlic','cayenne','paprika','chili','cumin','enchilada sauce','flour','monterey jack']"
Chicken Enchiladas II,"['butter','onion','garlic','chile','cream','cream','chicken','cheddar','flour','milk']"
Easy Chicken Enchiladas,"['cream','salsa','chicken','beans','flour','cheese']"
Brunch Enchiladas,"['ham','onion','pepper','cheddar','flour','egg','cream','milk','flour','garlic','pepper']"
Chicken Enchiladas I,"['chicken','onion','cream','cheddar','parsley','oregano','tea','tea','tomato','water','chili','pepper','garlic','flour','taco','cheddar']"
Breakfast Enchiladas,"['potato','ham','oil','pepper','cheddar','enchilada sauce','flour']"
Spinach Enchiladas,"['butter','onion','clove','spinach','ricotta','cream','monterey jack','corn','enchilada sauce']"
Ground Beef Enchiladas,"['beef','onion','jalapeno','water','taco','yogurt','chicken','mozzarella','corn']"
Bacon-Ranch Chicken Enchiladas,"['cooking spray','oil','onion','chicken','bacon','garlic','tea','tea','garlic','onion','ranch dressing','cream','corn','cheddar','enchilada sauce']"
Savory Halibut Enchiladas,"['halibut','garlic','pepper','onion','pepper','cilantro','cream','mayonnaise','cheddar','enchilada sauce','flour','cheddar','avocado']"
Beef Enchiladas with Spicy Red Sauce,"['oil','onion','garlic','oregano','chili','tea','tea','tea','cumin','cilantro','salsa','tomato','tomato','chicken','beef','onion','garlic','chili','cumin','enchilada sauce','beef','cheese','cooking spray','flour','cheese','cilantro']"
Beef Enchiladas II,"['beef','onion','enchilada sauce','flour','cheddar','olives']"
Authentic Enchiladas Verdes,"['chicken','chicken','onion','garlic','tea','tomatillos','pepper','onion','garlic','salt','corn','oil','queso fresco','onion','cilantro']"
Gerry's Chicken Enchiladas,"['chicken','oil','onion','tomato','tomato','pepper','chicken','chicken','onion','cream','corn','cheddar','enchilada sauce']"
Chicken Ranch Enchiladas,"['butter','chicken','chicken','cream','chili','ranch dressing','flour','cheese']"
Brunch Enchiladas,"['ham','onion','pepper','cheddar','flour','egg','cream','milk','flour','garlic','pepper']"
Potato Enchilada,"['oil','potato','cheese','tomato','peas','corn','flour']"
Italian Enchiladas,"['beef','onion','cream','cheese','marinara','tomato','water','flour']"
Shrimp Enchiladas,"['oil','clove','gin','hot sauce','shrimp','flour','cheddar','salsa']"
Pork Enchiladas,"['pork','enchilada sauce','onion','cream','chili','monterey jack','tomato','garlic','cumin','flour']"
Turkey Enchiladas,"['cheddar','onion','olives','corn','enchilada sauce','turkey']"
Cheese Enchiladas,"['tomato','tomato','tea','corn','cheddar','onion','olives','mushroom']"
Whit's Chicken Enchiladas,"['chicken','oil','pepper','jalapeno','garlic','cream','monterey jack','water','flour','cream']"
Seafood Enchiladas,"['onion','butter','crabmeat','shrimp','cheese','flour','cream','cream','butter','tea','garlic']"
Cheater's Enchiladas,"['cream','monterey jack','enchilada sauce','corn','olives']"
Pineapple Enchiladas,"['apple','cream','cheddar','enchilada sauce','flour']"
Spinach Enchiladas,"['butter','onion','clove','spinach','ricotta','cream','monterey jack','corn','enchilada sauce']"
Fiesta Chicken Enchiladas,"['onion','garlic','chicken','salsa',', ',', ',', ',', ']"
Beef and Bean Chile Verde,"['beef','pepper','onion','clove','chili','cumin','cayenne','salsa','water','beans']"
Mandy's Lamb Enchiladas,"['lamb','onion','tomato','beans','mushroom','salsa','flour','cheddar']"
Easy Vegetarian Enchiladas,"['oil','onion','tomato','tomato','garlic','beans','onion','olives','cheese','flour']"
Chicken Enchiladas IV,"['chicken','cream','cheddar','onion','cumin','cilantro','salt','corn','salsa']"
Creamy Chicken Enchiladas Verde,"['cream',', ',', ',', ',', ',', ',', ',', ']"
Cheesy Cornbread Casserole,"['beef','onion','pepper','enchilada sauce','beans','garlic','cumin','corn','cheese']"
Quick and Easy 4-Ingredient Enchiladas,"['chicken','enchilada sauce','cream','cheddar']"
Country Apple Dumplings,"['apple','roll','butter','sugar','cinnamon','mountain dew']"
Chinese Pork Dumplings,"['soy sauce','ice','chives','sesame seeds','garlic','pork','clove','egg','chives','soy sauce','oil','gin','dumpling','oil','water']"
Pierogi (Polish Dumplings),"['butter','onion','sauerkraut','salt','butter','onion','potato','tea','tea','egg','cream','flour','tea','baking powder']"
Old-Fashioned Apple Dumplings,"['pastry','apple','butter','sugar','cinnamon','nutmeg','water','sugar','tea']"
Chef John's Chicken and Dumplings,"['chicken','water','carrot','celery','onion','thyme','bay leaf','flour','pepper','cayenne','creme fraiche','milk','tea','egg','flour','thyme']"
Slow Cooker Chicken and Dumplings,"['chicken','butter','chicken','onion','biscuit']"
Lazy Pork Dumplings,"['flour','water','salt','pork','clove','gin','onion','chives','salt','tea','tea','soy sauce','oil','ice','soy sauce','tea','chicken','tea']"
Herbed Dumplings,"['flour','tea','baking soda','baking powder','tea','tea','oregano','butter','milk']"
German Potato Dumplings (Kartoffelkloesse),"['potato','butter','bread','pepper','cayenne','nutmeg','egg','flour','chives']"
Chicken and Dumplings III,"['chicken','celery','salt','biscuit']"
Quiche,"['cheese','flour','ham','egg','milk','tea','tea','pie crust','parsley','pepper']"
Clark's Quiche,"['bacon','spinach','cream','salt','pie crust','oil','onion','mushroom','ham','monterey jack','cheddar','parmesan','egg','cream','parsley','salt']"
Spinach Quiche,"['butter','clove','onion','spinach','mushroom','feta','cheddar','salt','pie crust','egg','milk','salt']"
Easy Quiche,"['milk','egg','biscuit','butter','parmesan','broccoli','ham','cheddar']"
Chef John's Quiche Lorraine,"['pie crust','bacon','ale','onion','pepper','cayenne','egg','egg','cream','milk','tea','gruyere']"
Quick Quiche,"['bacon','cheese','butter','egg','onion','tea','flour','milk']"
Crustless Spinach Quiche,"['oil','onion','spinach','egg','cheese','tea','tea']"
Light and Fluffy Spinach Quiche,"['mayonnaise','milk','egg','cheddar','spinach','onion','pie shell']"
Easy Bacon and Cheese Quiche,"['pie crust','bacon','onion','cheese','parmesan','egg','cream']"
Summer Garden Crustless Quiche,"['oil','oil','onion','clove','ale','salt','pepper','tomato','carrot','egg','milk','cheddar','parsley']"
Spinach-Ricotta Quiche,"['butter','onion','spinach','pastry','egg','milk','cream','egg','basil','tea','tea']"
Quiche Supreme,"['pie crust','pepper','onion','mushroom','egg','cream','monterey jack','cheese','ham','tea','tarragon','garlic','nutmeg','parsley','salt']"
Yummy Quiche,"['bacon','pie crust','cheddar','monterey jack','flour','egg','halfandhalf','onion','pepper']"
Asparagus Quiche,"['asparagus','bacon','pie shell','egg','egg','cream','nutmeg','salt','cheese']"
Crab Quiche,"['pie crust','egg','cream','tea','tea','pepper','monterey jack','parmesan','crabmeat','onion']"
Marvelous Mini Mexican Quiches,"['cream','butter','flour','egg','milk','monterey jack','chorizo','chile','onion','cilantro','garlic','chili','tea','cumin','cayenne','tea']"
Springtime Quiche,"['bacon','cheese','onion','asparagus','milk','biscuit','egg','tea','tea','tea']"
Quiche Seville,"['pastry','cream','bacon','monterey jack','onion','egg','tea','pepper']"
Shrimp Quiche,"['pie shell','shrimp','gruyere','egg','cream','onion','salt']"
Cheddar Quiche,"['baking mix','tea','tea','milk','bacon','onion','cheddar','egg','tea','tea','milk']"
Zucchini Quiche,"['biscuit','oregano','tea','garlic','tea','tea','parmesan','onion','egg','oil','zucchini']"
Salmon Quiche,"['cheddar','onion','egg','milk','salt','pepper','garlic','parsley','sage','salmon','pie crust','cheddar']"
Lentil Quiche,"['onion','oil','lentils','water','broccoli','tomato','egg','milk','tea','pepper','tea','cheddar']"
Hamburger Quiche,"['potato','beef','onion','milk','egg','corn','cheddar','liquid smoke','bacon','tea','salt','cheddar']"
Crustless Spinach Quiche,"['oil','onion','spinach','egg','cheese','tea','tea']"
Country Quiche,"['bacon','onion','egg','milk','flour','tea','tea','salt','pie crust','mozzarella','cheddar']"
Easy Bacon and Cheese Quiche,"['pie crust','bacon','onion','cheese','parmesan','egg','cream']"
Ham and Hash Brown Quiche,"['potato','butter','ham','cheddar','onion','pepper','egg','milk','tea','tea']"
Quiche Lorraine II,"['pastry','bacon','onion','egg','milk','tea','cheese','flour']"
Corn Tortilla Quiche,"['pork','corn','monterey jack','cheddar','chile','egg','cream','ricotta','chili','cilantro']"
Creamy Ham and Cheese Quiche,"['pie crust','cheddar','cheese','flour','ham','honey','halfandhalf','egg','onion','tea']"
Cheesy Sausage Mushroom Quiche,"['pie crust','sage','tea','onion','egg','milk','mayonnaise','cheese','mushroom','garlic','cheddar']"
Fresh Green Chile Quiche,"['oil','pepper','onion','feta','cream','tea','pie crust','monterey jack','egg','milk','cheddar']"
Spinach and Carrot Quiche,"['oil','onion','clove','spinach','carrot','monterey jack','egg','pepper','nutmeg','tea','tea','pie crust']"
Hash Brown Quiche,"['potato','butter','salt','ham','onion','cheddar','egg','milk','salt']"
Impossibly Easy Ham and Asparagus Pie,"['ham','cheddar','onion','asparagus','milk','baking mix','egg']"
Broccoli Cheese Pie,"['broccoli','cheddar','flour','tea','tea','butter','butter','onion','mushroom','flour','cream','tea','nutmeg','egg']"
Leek and Bacon Quiche with Maille® Dijon Originale Mustard,"['pastry','butter','leek','bacon','egg','ale','cream','cheese']"
Easy English Quiche Lorraine,"['pastry','milk','egg','spinach','pepper','cheese','ham','tomato']"
Sausage Mushroom Quiche,"['mushroom','pork','parsley','egg','cream','parmesan','tea','pie crust']"
Carrot Cashew Quiche,"['butter','carrot','cashews','honey','egg','cream','nutmeg','tea','cheddar','pie crust']"
Broccoli and Cheddar Quiche,"['pie crust','tea','broccoli','egg','milk','dijon mustard','oregano','tea','tea','tea','cheddar','parmesan']"
Broccoli and Provolone Quiche,"['broccoli','oil','clove','onion','tea','pie crust','egg','egg','cream','salt','cheese']"
Shredded Potato Quiche,"['potato','butter','egg','cheese','ham','milk','salt']"
Buffalo Chicken Calzone,"['chicken','butter','buffalo wing sauce','pizza dough','oil','mozzarella']"
Real Italian Calzones,"['yeast','water','oil','tea','tea','flour','oil','ricotta','cheddar','pepper','mushroom','basil','egg']"
Chef John's Ham and Cheese Calzones,"['pizza dough','prosciutto','ricotta','tea','tea','cayenne','ham','mozzarella','gin','corn','egg','tea','egg','marinara']"
BBQ Chicken Calzones,"['bacon','onion','chicken','barbeque sauce','pizza crust','mozzarella','cilantro']"
"Sausage, Spinach and Ricotta Calzone","['flour','yeast',', ',', ',', ',', ',', ',', ',', ',', ',', ',', ',', ',', ',', ']"
Mushroom Cheeseburger Calzones,"['beef','mushroom','onion','jalapeno','ketchup','yellow mustard','pepper','pizza dough','dill','cheddar','oil','sesame seeds']"
Mini Calzones with Margherita® Pepperoni,"['flour','tea','salt','butter','water','yeast','oil','pepper','mozzarella','mushroom','egg','sesame seeds','thyme']"
Karin's Veggie Calzones,"['pizza dough','spinach','mushroom','zucchini','cabbage','pepper','tomato','onion','tomato','artichoke hearts','olives','clove','tea','pepper','mozzarella','cheese','oil','marinara']"
Quick Spinach-Ricotta Calzones,"['roll','corn','oil','onion','spinach','clove','nutmeg','salt','ricotta','mozzarella','parmesan','oil','pasta']"
"Broccoli, Pepperoni and Three Cheese Calzones","['yeast','water','flour','tea','tea','oil','tea','broccoli','cheese','mozzarella','parmesan','garlic','pepper','oil','salt','egg','water','corn']"
Unbelievable Spinach Calzones,"['ricotta','egg','italian seasoning','mozzarella','parmesan','spinach','salt','bread']"
Quick Sausage and Bell Pepper Calzones,"['roll','corn','sage','oil','onion','pepper','pepper','clove','mozzarella','parmesan','parsley','oil','pasta']"
Pepperoni Stromboli,"['bread','spaghetti','oregano','sage','mozzarella','parmesan']"
Ham and Cheese Stromboli,"['pizza crust','spaghetti','ham','cola','salami','sage','garlic','mozzarella','onion','mushroom','pepper']"
Lasagna,"['oil','onion','bay leaf','clove','oregano','tea','tomato','tomato','cinnamon','lasagna noodle','ricotta','egg','parmesan','tea','garlic','oil','onion','mushroom','spinach','zucchini','mozzarella','parmesan']"
World's Best Lasagna,"['sage','beef','onion','clove','tomato','tomato','tomato','water','sugar','tea','fennel','tea','tea','tea','parsley','lasagna noodle','ricotta','egg','mozzarella','parmesan']"
American Lasagna,"['beef','onion','clove','basil','oregano','sugar','tea','tomato','tomato','lasagna noodle','egg','ricotta','parmesan','parsley','tea','mozzarella','parmesan']"
Eggplant Lasagna,"['oil','egg','water','parmesan','rum','pepper','egg','oil','beef','tomato','mozzarella']"
Creamy Chicken Lasagna,"['chicken','lasagna noodle','chicken','water','cream','mozzarella','spaghetti']"
Deep Dish Lasagna,"['lasagna noodle','sage','onion','garlic','parsley','tomato','tomato','water','tea','oregano','tea','ricotta','spinach','parmesan','egg','garlic','tea','mozzarella']"
Cajun Chicken Lasagna,"['lasagna noodle','sage','chicken','tea','sage','onion','celery','pepper','garlic','alfredo sauce','mozzarella','parmesan']"
Summer Lasagna,"['beef','onion','pepper','carrot','clove','tomato','oregano','tea','salt','zucchini','cheese','egg','mozzarella','parmesan']"
Skillet Spinach Lasagna,"['sage','lasagna noodle','tomato','tomato','spinach','ricotta','mozzarella','parmesan']"
Grandma's Best Ever Sour Cream Lasagna,"['lasagna noodle','pork','beef','garlic','tomato','tomato','parsley','tea','oregano','sugar','cream','egg','parmesan','olives','tea','tea','mozzarella']"
Enchilada Lasagna,"['oil','onion','clove','turkey','enchilada sauce','cilantro','cheese','egg','cumin','corn','cheese','cooking spray','onion']"
Quinoa Lasagna,"['oil','onion','clove','beef','tomato','tomato','oregano','tea','quinoa','ricotta','mozzarella','parmesan']"
Passover Lasagna,"[' package matzo sheets','tomato','salt','cheese','mozzarella','parmesan','oregano']"
Donna's Lasagna,"['beef','sage','tomato','tomato','sugar','tea','garlic','parsley','lasagna noodle','cheese','egg','tea','parmesan','parsley','tea','mozzarella']"
Barbecue Lasagna,"['lasagna noodle','pork','mozzarella','cheddar','ricotta','egg','tea','tea']"
Homemade Lasagna,"['lasagna noodle','pork','beef','tomato','tomato','parsley','garlic','oregano','onion','tea','tea','tea','cheese','egg','parmesan','tea','tea','mozzarella']"
Taco Lasagna with Noodles,"['lasagna noodle','beef','tomato','water','taco','cheddar','tortilla']"
Lasagna Bolognese,"['lasagna noodle','oil','tomato','onion','carrot','celery','clove','sage','rosemary','oil','beef','rum','flour','wine','cream','parmesan','cinnamon','ricotta','egg','mozzarella','salt','pepper']"
Lisa's Lasagna,"['beef','onion','pepper','tea','salt','tomato','water','ricotta','egg','mozzarella','lasagne']"
Lasagna Helper,"['beef','water','beef','lasagna noodle','tomato','onion','clove','italian seasoning','tea','corn','salt']"
Missy's Lasagna,"['beef','onion','pepper','tomato','mushroom','egg','mozzarella','cheese','ricotta','milk','rum','lasagna noodle']"
Asparagus Lasagna,"['lasagna noodle','margarine','clove','flour','milk','tea','asparagus','ham','mozzarella']"
German Lasagna,"['lasagna noodle','cream','chicken','milk','kielbasa','sauerkraut','mozzarella']"
Mexican Lasagna with Noodles,"['beef','beans','oregano','cumin','garlic','lasagna noodle','water','salsa','cream','onion','olives','cheese']"
Ravioli Lasagna,"['ricotta','spinach','cheese','egg','salt','spaghetti','cheese','spaghetti','cheese']"
Best Lasagna,"['lasagna noodle','beef','onion','salt','italian seasoning','ricotta','cheese','spaghetti','mozzarella','zucchini','basil']"
Tofu Lasagna,"['lasagna noodle','rum','egg','tea','tea','nutmeg','milk','spaghetti','parsley','mozzarella','parmesan']"
Lasagna Alfredo,"['lasagna noodle','spinach','chicken','pasta','mozzarella','ricotta','pepper']"
Sweet Potato Casserole Dessert,"['potato','butter','milk','sugar','tea','egg','sugar','flour','butter','pecan']"
Sausage Casserole,"['sage','potato','butter','cheddar','onion','cheese','egg']"
Hash Brown Casserole II,"['potato','butter','chicken','cream','onion','cheddar','tea','tea','corn','butter']"
Sweet Potato Casserole II,"['potato','margarine','sugar','ice','cinnamon','marshmallow']"
Yummy Sweet Potato Casserole,"['potato','sugar','egg','tea','butter','milk','tea','sugar','flour','butter','pecan']"
Cheesy Amish Breakfast Casserole,"['bacon','onion','potato','egg','cheddar','cheese','cheese']"
Twice Baked Potato Casserole With Bacon,"['potato','bacon','cheddar','cream','milk','butter','chives','tea','tea','garlic','cheddar']"
Spaghetti Squash Casserole in the Shell,"['spaghetti','beef','onion','pepper','garlic','tea','oregano','tea','tea','tomato','cheddar']"
Sausage Egg Casserole,"['pork','butter','onion','mushroom','egg','cheese','monterey jack','pepper','flour','baking powder','tea','butter']"
Butternut Squash Casserole,"['butter','sugar','milk','tea','salt','flour','egg','margarine','vanilla','margarine','sugar']"
Eggplant Parmesan Casserole,"['egg','oil','salt','oil','clove','tea','marinara','water','ricotta','parmesan','cheese','pepper','rum','parmesan','oil']"
Best Green Bean Casserole,"['beans','cream','onion','cheddar']"
Southern Grits Casserole,"['water','uncooked grits','butter','cheddar','pork','egg','milk','salt']"
Egg and Sausage Casserole,"['pork','roll','egg','mozzarella','cheddar','oregano']"
Oyster Casserole,"['butter','salt','oysters','cream','tea','corn']"
Mediterranean Casserole,"['potato','gin','sardines','tomato','clove','basil','rum']"
Bierox Casserole,"['cabbage','beef','onion','garlic','roll','cheese','salt']"
On the Go Casserole,"['sage','olives','olives','corn','tomato','mushroom','cheddar','ice']"
Firecracker Casserole,"['beef','onion','beans','chili','cumin','tea','flour','tomato','cream','cheddar']"
Stromboli,"['pizza crust','beef','ham','pepper','onion','pizza sauce','mushroom','butter','sage','mozzarella']"
Stromboli Grinder,"['marinara','oil','onion','pepper','jalapeno','ice','salami','pepper',' italianstyle hoagie buns, split lengthwise','mascarpone','garlic','mozzarella']"
Meat and Veggie Stromboli,"['bread','parmesan','oil','egg','tea','oregano','garlic','tea','pepper','gin','cheese','tea','pepper','onion','mushroom','egg','parmesan','tea']"
Ham and Cheese Stromboli,"['pizza crust','spaghetti','ham','cola','salami','sage','garlic','mozzarella','onion','mushroom','pepper']"
Pineapple Carne Asada Tacos,"['garlic','apple','gin','lime','orange','lime','salt','pepper','tea','grapes','butter','cream','lime','salt','cauliflower','avocado','tomato','onion','cilantro']"
Cocoa Pebbles Ice Cream Tacos,"['cooking spray','butter','marshmallow','salt','cocoa','cream','  fudge sauce','   whipped topping','rainbow sprinkles','maraschino cherries']"
Cheesy Turkey Taco Bake,"['nonstick cooking spray','gin','turkey','taco','onion',' jalapeno, seeded, finely chopped','pepper','pepper','tomato','beans',' oz velveeta, cut into ” cubes','salsa','corn','cilantro','ice','avocado','cream','lime']"
Chicken Bacon Ranch Tacos,"['bacon','chicken','taco','corn','lettuce','cheese','tomato','onion','ranch dressing']"
TikTok Influencer Tabitha Brown Shares Her Recipe For Sweet Potato Tacos,['']
Buffalo Cauliflower Tacos,"['cauliflower','flour','salt','pepper','garlic','paprika','milk','s red hot"", ',', ',', ',', ']"
Death By Chocolate Taco,"['cola','coconut','corn','cola','  hot fudge, chilled','peanuts','coconut','rainbow sprinkles']"
Spiced Chicken Tacos,"['gin','chicken','salt','pepper','chili','cumin','garlic','paprika','cayenne','corn','cream','onion','tomato','monterey jack','avocado','cilantro','lime']"
Sheet Pan Pineapple Shrimp Tacos,"['shrimp','gin','lime','clove','chili','cumin','cayenne','salt','cabbage','cilantro','gin','lime','salt','onion','apple','gin','flour','lime','cilantro','avocado','cream','ice']"
Cilantro-Lime Shrimp Tacos,"['lime','cilantro','clove','cumin','oil','lime','salt','shrimp','tortilla','cabbage','cilantro','onion','avocado','lime','gin','salt','mayonnaise',', ',', ',', ']"
Chicken Quesadillas,"['gin','pepper','onion','salt','pepper','chicken','chili','cumin','oregano','flour','monterey jack','cheddar','avocado','oil','onion','cream']"
Best-Ever Keto Quesadillas,"['gin','pepper','onion','chili','salt','pepper','monterey jack','cheddar','chicken','avocado','onion','cream']"
Egg-In-A-Hole Quesadillas,"['tomato','onion','jalapeno, minced','lime','salt','pepper','flour','cheddar','monterery jack','onion','gin','egg','avocado']"
Big Mac Quesadillas,"['mayonnaise','yellow mustard','ketchup','pickle relish','apple','garlic','onion','paprika','salt','gin','beef','flour','onion','cheese','cheddar','butter']"
Cheese-Crusted Quesadilla,"['gin','pepper','onion','salt','pepper','chicken','chili','cumin','monterey jack','cheddar','flour','onion','cream']"
Bacon Weave Quesadilla,"['bacon','cheddar','monterey jack','chicken','tomato','avocado','cream']"
Spinach-Artichoke Quesadillas,"['onion','clove','oil','artichoke hearts','spinach','monterey jack','cream','pepper','flour']"
Grilled Chicken Quesadillas,"['oil','onion','pepper','salt','pepper','chicken','chili','cumin','oregano','flour','monterey jack','cheddar','onion','guacamole','cream']"
Chicken Cordon Bleu Quesadillas,"['chicken','oregano','garlic','salt','pepper','gin','flour','dijon mustard','ham','cheese','mozzarella','parmesan','parsley']"
No More Deciding Between A Burrito And A Quesadilla. The Quesarito Lets You Have Both,['']
Cheesy Spinach-Artichoke Quesadillas,"['gin','garlic','shallot','spinach','artichoke hearts','pepper','salt','pepper','tomato','parsley','wine','monterey jack','flour']"
Killer Quesadillas,"['butter','flour','cheddar','tomato','tofu','scallions','avocado','sprouts','pepper']"
The Quesarito Is Coming to a Taco Bell Near You,['']
Vegan Mushroom Pot Pie,"['onion','carrot','celery','clove','thyme','bay leaves','dried porcini','salt','water','gin','mushroom','mushroom','pepper','rosemary','sage','flour','peas','wine','soy sauce','peas','parsley','phyllo dough','salt']"
Turkey Pot Pie,"['butter','flour','salt','sugar','apple','water','butter','onion','carrot','clove','flour','wine','cream','turkey','peas','parsley','thyme','salt','pepper','salt']"
Chicken Pot Pie,"['flour','butter','baking powder','salt','water','chicken','butter','salt','pepper','carrot','onion','clove','flour','chicken','cream','peas','parsley','thyme','egg','salt']"
Chicken Veggie Tot Pie,"['chicken','cream','salt','pepper','chicken','gin','carrot','celery','clove','wine','thyme','parsley','coriander','butter','onion','flour','peas','cauliflower']"
Steak Pot Pie,"['gin','tea','salt','pepper','onion','carrot','celery','potato','clove','thyme','flour','beef','cream','worcestershire sauce','peas','tube','butter']"
Turkey Shepherd's Pie,"['potato','salt','butter','milk','cream','pepper','monterey jack','gin','onion','carrot','parsnip','clove','thyme','sage','wine','turkey','flour','chicken','parsley']"
Beef Pot Pie,"['beef','salt','pepper','gin','clove','onion','carrot','celery','thyme','flour','wine','milk','beef','parsley','pastry','water']"
Deep-Dish Chicken Pot Pie,"['chicken','italian dressing','cheese','flour','chicken','carrot','pie crust']"
"Chicken Pot Pie Homemade ""Hot Pockets""","['pie crust','chicken','vegetables','flour','milk','salt','pepper','water']"
Bacon-Cheddar Chicken Pot Pie,"['bacon','onion','carrot','garlic','flour','chicken','salt','chicken','peas','sugar','baking powder','butter','butter','cheddar']"
Steak and Mushroom Potpies,"['pastry','oil','beef','mushroom','onion','rosemary','tomato','garlic','flour','beef','carrot','salt','pepper','egg']"
Katie Lee's Chicken Pot Pie,"['pastry','chicken','onion','bay leaves','corn','thyme','thyme','chicken','butter','onion','carrot','mushroom','peas','flour','milk','salt','pepper','egg']"
Turkey Chili Pot Pie,"['corn','corn','potato','water','oil','onion','turkey','salt','pepper','garlic','finely chopped pickled jalapenos','chili','cumin','tomato','beans','cilantro']"
Tex-Mex Beef Enchiladas,"['gin','onion','clove','beef','chili','cumin','salt','pepper','enchilada sauce','corn','beans','flour','monterey jack','cheddar','tomato','avocado','onion','cilantro']"
Shrimp Enchiladas,"['gin','clove','onion','pepper',' jalapeno, seeds removed and minced','shrimp','salt','pepper','butter','flour','milk','cream','chili','cumin','salt','pepper','flour','monterey jack','cilantro','pico de gallo']"
Butternut Squash & Mushroom Enchiladas,"[' oz velveeta, cut into ” cubes, divided','salsa','gin','onion','garlic','butter','taco','pepper','mushroom','corn','onion','ice','cilantro','lime']"
Chicken Enchilada Casserole,"['gin','onion','pepper','clove','beans','corn','chicken','chili','enchilada sauce','corn','cheddar','monterey jack','cream','cilantro','avocado']"
Chicken Enchilada Bake,"['oil','chicken','salt','pepper','chili','onion','pepper','clove','corn','salsa','corn','monterey jack','cheddar','avocado','tomato','cilantro']"
Turkey Enchiladas,"['oil','onion','clove','ice','enchilada sauce','corn','turkey','beans','monterey jack','cream','salt','cilantro','rum','pepitas']"
Street Corn Enchiladas,"['corn','monterey jack','onion','cheese','mayonnaise','lime','ice','chili','salt','pepper','enchilada sauce','corn','cilantro']"
Shrimp Enchiladas,"['oil','shrimp','salt','pepper','flour','beans','monterey jack','tomato','cream','chives']"
Shredded Pork Enchiladas with Roasted Tomato Sauce,"['onion','garlic','oil','ale','tomato','coriander','salt','pork','onion','garlic','oregano','salt','flour','feta']"
Sunday Morning Chilaquiles,"['butter','egg','pepper','oil','tortilla','onion','enchilada sauce','cheese','cilantro','avocado']"
Veggie Crustless Quiche,"['butter','mushroom','shallot','spinach','salt','pepper','egg','milk','tomato','parmesan']"
Ham & Cheese Quiche,"['pie dough','ham','cheddar','monterey jack','onion','cream','egg','salt','pepper']"
Mini Bacon Asparagus Quiches,"['bacon','asparagus','salt','pepper','egg','cream','chives','pastry']"
Pizza Rustica,"['flour','salt','butter','egg','water','gin','sage','clove','spinach','egg','ricotta','mozzarella','parmesan','salami','salt','pepper','egg']"
Crustless Bacon Quiche,"['onion','tomato','bacon','mushroom','egg','cream','cheddar','mozzarella']"
Asparagus Quiche,"['flour','salt','butter','shortening','water','asparagus','egg','cream','pepper','nutmeg','cheese']"
Potato-Crusted Quiche,"['egg','egg','milk','salt','pepper','ham','potato','onion','oil','cheese','tomato','parsley','chives']"
